PlotID,PlotNo,FarmName,Long,Lat,VegClass,Date,DD,MM,YYYY
TMN P217,P217,TMN,175.3340608,-38.7854728,F_N_Reg_Diff,NA,NA,NA,NA
TMN P229,P229,TMN,175.3134471,-38.7842444,F_Ex_Pl_Contin,NA,NA,NA,NA
TMN P230,P230,TMN,175.3157479,-38.7841988,F_Ex_Pl_Contin,NA,NA,NA,NA
TMN P231,P231,TMN,175.3180488,-38.7841531,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P236,P236,TMN,175.3295528,-38.7839243,F_N_Reg_Contin,unknown,NA,NA,NA
TMN P238,P238,TMN,175.3341543,-38.7838324,F_N_Reg_Diff,unknown,NA,NA,NA
TMN P249,P249,TMN,175.3133888,-38.7824435,F_Ex_Pl_Contin,NA,NA,NA,NA
TMN P250,P250,TMN,175.3156896,-38.7823979,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P256,P256,TMN,175.3294942,-38.7821234,F_N_Reg_Sparse,NA,NA,NA,NA
TMN P259,P259,TMN,175.3363963,-38.7819855,F_N_Reg_Diff,NA,NA,NA,NA
TMN P262,P262,TMN,175.3432985,-38.7818473,F_N_Reg_Contin,unknown,NA,NA,NA
TMN P269,P269,TMN,175.3156313,-38.7805971,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P275,P275,TMN,175.3294355,-38.7803226,F_N_Reg_Contin,unknown,NA,NA,NA
TMN P277,P277,TMN,175.3340368,-38.7802307,F_N_Reg_Diff,NA,NA,NA,NA
TMN P279,P279,TMN,175.3386382,-38.7801387,F_N_Reg_Contin,unknown,NA,NA,NA
TMN P280,P280,TMN,175.3409388,-38.7800926,F_Ex_Reg_Diff,NA,NA,NA,NA
TMN P281,P281,TMN,175.3432395,-38.7800465,F_N_Reg_Sparse,unknown,NA,NA,NA
TMN P282,P282,TMN,175.3455401,-38.7800003,F_N_Reg_Diff,unknown,NA,NA,NA
TMN P292,P292,TMN,175.3247757,-38.7786134,F_N_Reg_Contin,NA,NA,NA,NA
TMN P298,P298,TMN,175.3385793,-38.7783378,F_N_Reg_Diff,unknown,NA,NA,NA
TMN P310,P310,TMN,175.3230366,-38.7773,F_N_Reg_Contin,NA,NA,NA,NA
TMN P311,P311,TMN,175.3247197,-38.7762149,F_N_Reg_Contin,unknown,NA,NA,NA
TMN P312,P312,TMN,175.3270177,-38.7767667,F_N_Reg_Contin,NA,NA,NA,NA
TMN P327,P327,TMN,175.3177571,-38.7751488,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P328,P328,TMN,175.3200577,-38.7751032,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P331,P331,TMN,175.3269591,-38.7749659,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P350,P350,TMN,175.3269006,-38.773165,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P351,P351,TMN,175.3292011,-38.7731192,F_N_Reg_Sparse,unknown,NA,NA,NA
TMN P358,P358,TMN,175.3453041,-38.772797,F_Ex_Pl_Contin,9/01/2019,9,1,2019
TMN P359,P359,TMN,175.3476045,-38.7727508,F_Ex_Pl_Contin,8/01/2019,8,1,2019
TMN P360,P360,TMN,175.3499049,-38.7727045,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P369,P369,TMN,175.3245417,-38.77141,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P371,P371,TMN,175.3291425,-38.7713183,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P374,P374,TMN,175.3360436,-38.7711805,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P375,P375,TMN,175.338344,-38.7711345,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P377,P377,TMN,175.3429447,-38.7710423,F_Ex_Pl_Contin,unknown,NA,NA,NA
TMN P379,P379,TMN,175.3475454,-38.7709499,F_Ex_Pl_Contin,10/01/2019,10,1,2019
TMN P380,P380,TMN,175.3498458,-38.7709037,F_N_Rem_Contin,9/01/2019,9,1,2019
TMN P392,P392,TMN,175.3290839,-38.7695175,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P400,P400,TMN,175.3474863,-38.7691491,F_N_Rem_Contin,9/01/2019,9,1,2019
TMN P401,P401,TMN,175.3497867,-38.7691029,F_N_Rem_Contin,10/01/2019,10,1,2019
TMN P412,P412,TMN,175.326725,-38.7677625,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P413,P413,TMN,175.3290253,-38.7677166,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P417,P417,TMN,175.3428268,-38.7674407,F_Ex_Pl_Contin,11/01/2019,11,1,2019
TMN P419,P419,TMN,175.3474273,-38.7673483,F_N_Rem_Contin,10/01/2019,10,1,2019
TMN P433,P433,TMN,175.3289667,-38.7659158,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P436,P436,TMN,175.3450681,-38.7655936,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P437,P437,TMN,175.3473683,-38.7655475,F_N_Rem_Contin,unknown,NA,NA,NA
TMN P80,P80,TMN,175.323431,-38.7979701,F_N_Reg_Contin,NA,NA,NA,NA
TMN P96,P96,TMN,175.3230596,-38.7966677,F_N_Reg_Contin,NA,NA,NA,NA
